nregistro,nombre,principios_activos,pdf_url
84403,ACORE 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,tadalafilo,https://cima.aemps.es/cima/pdfs/ft/84403/FT_84403.pdf
84404,ACORE 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,tadalafilo,https://cima.aemps.es/cima/pdfs/ft/84404/FT_84404.pdf
71590,ACOXXEL 120 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,etoricoxib,https://cima.aemps.es/cima/pdfs/ft/71590/FT_71590.pdf
71587,ACOXXEL 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,etoricoxib,https://cima.aemps.es/cima/pdfs/ft/71587/FT_71587.pdf
71588,ACOXXEL 60 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,etoricoxib,https://cima.aemps.es/cima/pdfs/ft/71588/FT_71588.pdf
71589,ACOXXEL 90 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,etoricoxib,https://cima.aemps.es/cima/pdfs/ft/71589/FT_71589.pdf
77675,ACTIKERALL 5 MG/G + 100 MG/G SOLUCION CUTANEA,fluorouracilo + ácido salicílico,https://cima.aemps.es/cima/pdfs/ft/77675/FT_77675.pdf
59494,ACTILYSE POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION,alteplasa,https://cima.aemps.es/cima/pdfs/ft/59494/FT_59494.pdf
78761,ACTIRA 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,moxifloxacino,https://cima.aemps.es/cima/pdfs/ft/78761/FT_78761.pdf
52105,ACTOCORTINA 373 mg POLVO PARA SOLUCIÓN INYECTABLE,hidrocortisona,https://cima.aemps.es/cima/pdfs/ft/52105/FT_52105.pdf
02230011,ACTRAPID INNOLET 100 UI/ML SOLUCION INYECTABLE EN UNA PLUMA PRECARGADA,insulina regular,https://cima.aemps.es/cima/pdfs/ft/02230011/FT_02230011.pdf
02230003,ACTRAPID 100 UI/ML SOLUCION INYECTABLE EN UN VIAL,insulina regular,https://cima.aemps.es/cima/pdfs/ft/02230003/FT_02230003.pdf
83348,ACTROMADOL 660 MG COMPRIMIDOS DE LIBERACIÓN MODIFICADA,naproxeno sodico,https://cima.aemps.es/cima/pdfs/ft/83348/FT_83348.pdf
47178,ACTRON COMPUESTO 267 MG/133 MG/40 MG COMPRIMIDOS EFERVESCENTES,ácido acetilsalicílico + paracetamol + cafeína,https://cima.aemps.es/cima/pdfs/ft/47178/FT_47178.pdf
61690,ACULAR 5 mg/ml COLIRIO EN SOLUCION,ketorolaco,https://cima.aemps.es/cima/pdfs/ft/61690/FT_61690.pdf
62630,"ACUOLENS 3 mg/ml + 5,5 mg/ml COLIRIO EN SOLUCION EN ENVASE UNIDOSIS",hipromelosa + sodio cloruro,https://cima.aemps.es/cima/pdfs/ft/62630/FT_62630.pdf
59082,ACUPREL 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,quinapril,https://cima.aemps.es/cima/pdfs/ft/59082/FT_59082.pdf
61710,ACUPREL 40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,quinapril,https://cima.aemps.es/cima/pdfs/ft/61710/FT_61710.pdf
59081,ACUPREL 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,quinapril,https://cima.aemps.es/cima/pdfs/ft/59081/FT_59081.pdf
59538,"ADALAT OROS 30 mg, COMPRIMIDOS DE LIBERACION PROLONGADA",nifedipino,https://cima.aemps.es/cima/pdfs/ft/59538/FT_59538.pdf
59537,"ADALAT OROS 60 mg, COMPRIMIDOS DE LIBERACION PROLONGADA",nifedipino,https://cima.aemps.es/cima/pdfs/ft/59537/FT_59537.pdf
56920,ADALAT RETARD 20 mg COMPRIMIDOS DE LIBERACION MODIFICADA,nifedipino,https://cima.aemps.es/cima/pdfs/ft/56920/FT_56920.pdf
52661,"ADALAT 10 mg, CAPSULAS BLANDAS",nifedipino,https://cima.aemps.es/cima/pdfs/ft/52661/FT_52661.pdf
